episode,rewards,loss,l2_grad,max_grad
579,-191.25,-13.08,0.5368,16.1047
580,-115.73,-3.99,0.1951,5.0685
581,-95.80,-9.65,0.4093,11.1967
582,-108.59,-8.75,0.3688,9.8422
583,-475.86,0.75,0.5343,14.0252
584,-181.22,-6.85,0.2274,3.7813
585,-188.72,-6.81,0.3263,9.5079
586,-81.78,-9.54,0.3636,9.8973
587,-43.35,-10.95,0.3925,10.1769
588,-60.65,-10.75,0.3838,9.5810
589,-105.94,-5.62,0.2338,4.9857
590,-146.07,-5.32,0.2781,6.8595
591,-207.84,-0.10,0.4283,12.3455
592,-58.42,-9.83,0.3192,9.8993
593,-277.10,-8.31,0.3413,9.7598
594,-58.01,-9.86,0.2590,7.6519
595,-114.09,-4.70,0.3149,6.0808
596,-103.25,-11.58,0.3781,10.9763
597,-104.10,-11.55,0.4380,12.6942
598,-87.35,-11.54,0.4028,12.2948
599,-304.87,-5.13,0.3339,7.2849
600,-155.84,-7.89,0.3493,9.2625
601,-266.39,-2.23,0.3489,8.5650
602,-69.75,-6.67,0.1625,1.6300
603,-306.54,-9.94,0.4504,12.5864
604,-340.83,-8.34,0.3700,6.8960
605,-68.54,-11.59,0.4248,12.4259
606,-105.97,-11.67,0.4689,13.1961
607,-128.21,-8.58,0.3128,8.4321
608,-66.54,-10.39,0.3162,8.3378
609,-141.73,-7.37,0.3249,8.6984
610,-82.01,-10.54,0.3996,10.9391
611,-214.78,-11.26,0.3418,10.1912
612,-295.83,-7.81,0.2118,4.4693
613,-170.32,-8.86,0.2363,6.2983
614,-50.39,-6.01,0.1751,1.5819
615,-181.15,-3.40,0.2326,4.7121
616,-282.51,-9.53,0.4299,11.1051
617,-203.94,-10.17,0.4447,12.0142
618,-184.77,-12.17,0.4654,13.4129
619,-91.21,-13.14,0.4472,11.8397
620,-180.16,-7.53,0.3069,7.9853
621,-174.38,-7.18,0.3167,8.0689
622,-82.04,-11.12,0.3775,10.1355
623,-57.57,-10.80,0.4063,10.8197
624,-111.30,-11.05,0.3750,8.7828
625,-64.41,-11.65,0.4755,13.7516
626,-127.67,-9.93,0.3939,11.4357
627,-324.67,-2.00,0.4799,11.5121
628,-111.79,-6.34,0.1612,3.0815
629,-34.27,-6.45,0.1878,1.9220
630,-40.59,-15.00,0.5091,14.0301
631,-381.85,-10.06,0.4257,10.8074
632,-93.12,-14.38,0.5454,14.8128
633,-219.91,-7.74,0.3740,9.2968
