episode,loss,rewards
1215,10.40,2.01
1216,6.51,1.22
1217,9.55,1.67
1218,31.55,5.12
1219,30.23,4.60
1220,1.80,0.38
1221,45.83,7.00
1222,10.49,1.67
1223,7.60,1.16
1224,3.57,0.54
1225,38.42,5.94
1226,1.57,0.21
1227,12.67,1.95
1228,11.72,1.64
1229,2.23,0.32
1230,33.58,4.93
1231,20.50,2.60
1232,26.49,3.76
1233,8.53,1.19
1234,14.05,2.04
1235,2.23,0.31
1236,42.82,6.19
1237,24.61,3.13
1238,2.94,0.38
1239,3.41,0.45
1240,36.11,4.73
1241,28.37,3.60
1242,5.07,0.60
1243,37.70,5.09
1244,10.79,1.27
1245,70.92,9.52
1246,52.54,7.75
1247,18.70,2.34
1248,52.44,7.10
1249,19.94,2.46
1250,6.52,0.73
1251,5.50,0.60
1252,4.86,0.55
1253,48.98,6.75
1254,34.29,4.29
1255,24.85,3.06
1256,6.93,0.79
1257,28.46,3.83
1258,22.08,3.16
1259,17.33,2.32
1260,24.75,3.02
1261,14.70,1.73
1262,17.81,2.22
1263,13.77,1.72
1264,18.44,2.21
1265,5.09,0.59
1266,26.44,3.67
1267,7.32,1.00
1268,0.96,0.11
1269,31.12,4.52
1270,28.02,4.22
1271,21.75,2.97
1272,13.31,1.86
1273,12.77,1.93
1274,10.90,1.48
1275,57.14,8.10
1276,9.67,1.35
1277,4.77,0.69
1278,10.71,1.45
1279,41.91,6.37
1280,63.00,9.63
1281,12.82,1.41
1282,7.94,0.99
1283,5.18,0.79
1284,56.17,8.22
1285,2.93,0.36
1286,32.50,4.92
1287,6.11,0.80
1288,7.03,0.90
1289,5.15,0.68
1290,25.34,3.66
1291,18.23,2.78
1292,38.51,5.30
1293,23.46,3.64
1294,2.65,0.30
1295,24.67,3.46
1296,13.45,1.86
1297,5.11,0.64
1298,31.19,4.43
1299,2.48,0.32
1300,4.27,0.56
1301,45.98,7.77
1302,1.43,0.20
1303,2.36,0.31
1304,59.53,10.23
1305,17.49,2.32
1306,38.86,5.60
1307,8.05,1.00
1308,38.81,6.15
1309,44.25,6.93
1310,31.45,5.09
1311,14.81,2.33
1312,29.96,4.62
1313,15.20,2.43
1314,13.27,2.06
1315,63.78,10.28
1316,5.09,0.78
1317,6.70,0.92
1318,41.08,6.33
1319,46.82,6.90
1320,4.39,0.57
1321,10.42,1.57
1322,12.27,1.56
1323,6.16,0.83
1324,25.10,4.16
1325,9.66,1.15
1326,13.32,1.70
1327,19.85,2.70
1328,22.10,3.08
1329,12.14,1.55
1330,12.21,1.56
1331,33.78,5.82
1332,14.91,1.82
1333,24.05,3.21
1334,19.18,2.30
1335,14.82,2.09
1336,14.24,1.85
1337,5.88,0.74
1338,14.62,1.88
1339,14.35,1.97
1340,22.22,3.06
1341,33.60,5.15
1342,43.36,6.44
1343,11.59,1.28
1344,1.26,0.14
1345,4.02,0.44
1346,5.08,0.58
1347,14.61,1.76
1348,12.75,1.45
1349,33.43,4.94
1350,12.56,1.52
1351,21.78,2.62
1352,6.25,0.71
1353,26.73,3.24
1354,12.96,1.51
1355,8.66,1.00
1356,23.62,2.82
